,A,mu,sigma,unique_id
mcr-1.147,0.0601731195004249,87.35954408923303,2.6006529601064954,61.0
mcr-1.148,0.0774479058588386,87.22376998306122,2.104662559410448,61.0
mcr-1.149,0.0624815750507012,87.44191023513542,2.376729169274159,61.0
mcr-1.150,0.0749022585119609,87.18772775874845,2.155513077607738,61.0
mcr-1.151,0.0663489799736116,87.08158587567276,2.613760687124824,61.0
mcr-1.152,0.0699188722869142,87.37905098152193,2.361878830786656,61.0
mcr-1.153,0.0657539140969201,87.44968503809237,2.347952465528359,61.0
mcr-1.154,0.0661883141865096,87.42470031384599,2.3369019546646004,61.0
mcr-1.155,0.0637461906263298,87.37039142488976,2.406246294544236,61.0
mcr-1.156,0.0510457619744817,87.34298020388157,2.609867759479719,61.0
mcr-1.157,0.060934969157861,87.45808819030601,2.422509224271388,61.0
mcr-1.158,0.0642071717743645,87.63616454888415,2.32153142491796,61.0
mcr-1.159,0.0634582973063245,87.42992732151708,2.3949558642179696,61.0
mcr-1.160,0.0676708145570576,87.30024546047926,2.5251792677438805,61.0
mcr-1.161,0.0753875122574928,87.22010589023564,2.215041816625515,61.0
mcr-1.162,0.0673779979995616,87.39177840109706,2.287476820016747,61.0
mcr-1.163,0.0731457446117875,87.31423610264781,2.230474942015567,61.0
mcr-1.164,0.0705270230876158,87.17405118390252,2.3732341347087043,61.0
mcr-1.165,0.0706885025124348,87.12521981283422,2.488416464628912,61.0
mcr-1.166,0.0744449929005379,87.438386173411,2.2957222955461773,61.0
mcr-1.167,0.0740808098252096,87.4430671400842,2.2726120511308467,61.0
mcr-1.168,0.0711081578879627,87.32053660370228,2.501096883706196,61.0
mcr-1.170,0.0592694116722891,87.3863168378406,2.483948599513335,61.0
mcr-1.171,0.0750676498652748,87.29125930132302,2.209455411367369,61.0
mcr-1.172,0.0718773476816251,87.37955101685507,2.392536738237088,61.0
mcr-1.173,0.0713586825834347,87.16233800461195,2.3571742635862707,61.0
mcr-1.174,0.0621043585267389,87.34784398812133,2.287294817265726,61.0
mcr-1.175,0.0549381464696745,87.3376900605908,2.5449024356536736,61.0
mcr-1.176,0.0611881883066254,87.24903118200356,2.4712147418275303,61.0
mcr-1.177,0.0747883532090318,87.29778700508966,2.2340522285118403,61.0
mcr-1.178,0.0745828072644045,87.31554291160877,2.1976990048542726,61.0
mcr-1.179,0.06333416867231,87.48558260328888,2.3498505063125585,61.0
mcr-1.180,0.0581349542756907,87.40061011404143,2.5052382454795192,61.0
mcr-1.181,0.063129391099521,87.23818031509329,2.715082909683949,61.0
mcr-1.182,0.0595593766066915,87.16409139866286,2.668212837620033,61.0
mcr-1.183,0.0611703643564377,87.3594088624005,2.3918120986549067,61.0
mcr-1.184,0.0587814290016713,87.29817277274472,2.627638717184348,61.0
mcr-1.185,0.0694027785348172,87.14677219714312,2.2089961111416545,61.0
mcr-1.187,0.069379889129654,87.37541735740672,2.320839968824846,61.0
mcr-1.188,0.0691992647307685,87.35342248085944,2.382086778011097,61.0
mcr-1.189,0.0696698630464296,87.33956744280799,2.429173535464432,61.0
mcr-1.190,0.0697779281911595,87.40112879492506,2.271068609002845,61.0
mcr-1.191,0.0728692939007417,87.19459020666582,2.2567868629169885,61.0
mcr-1.192,0.0687049432162829,87.23155684830414,2.3395604721513146,61.0
mcr-1.193,0.0681395013626673,87.34785004315347,2.3434273301333053,61.0
mcr-1.194,0.0637218596656818,87.28653514536295,2.6281502811302224,61.0
mcr-1.195,0.0696326169547199,87.42984441850918,2.331094049345612,61.0
mcr-1.196,0.0582947642858096,87.30315451915166,2.5795328879133863,61.0
